Date,Time,Sport
10/12/2024,All Day - Women's Tennis,
10/13/2024,1:30 PM PDT - Men's Soccer,
10/13/2024,11:00 AM PDT - Women's Soccer,
10/13/2024,All Day - Women's Tennis,
10/14/2024,All Day - Women's Tennis,
10/15/2024,All Day - Women's Tennis,
10/19/2024,1:00 PM PDT - Football,
10/23/2024,7:00 PM PDT - Women's Volleyball,
10/24/2024,12:00 PM PDT - Men's Water Polo,
10/25/2024,All Day - Women's Tennis,
10/26/2024,7:00 PM PDT - Men's Soccer,
10/26/2024,12:00 PM PDT - Women's Volleyball,
10/26/2024,11:40 AM PDT - Men's Water Polo,
10/26/2024,All Day - Women's Tennis,
10/27/2024,2:00 PM PDT - Women's Gymnastics,
10/27/2024,8:00 AM PDT - Men's Water Polo,
10/27/2024,All Day - Women's Tennis,
10/29/2024,7:00 PM PDT - Men's Basketball,
10/30/2024,6:00 PM PDT - Women's Basketball,
10/31/2024,7:00 PM PDT - Women's Volleyball,
10/31/2024,7:00 PM PDT - Women's Soccer,
10/31/2024,4:00 PM PDT - Men's Soccer,
11/2/2024,12:00 PM PDT - Women's Volleyball,
11/3/2024,1:00 PM PST - Men's Soccer,
11/3/2024,12:00 PM PST - Men's Water Polo,
11/4/2024,7:00 PM PST - Men's Basketball,
11/9/2024,1:00 PM PST - Women's Basketball,
11/10/2024,2:00 PM PST - Women's Gymnastics,
11/12/2024,6:00 PM PST - Women's Basketball,
11/14/2024,7:00 PM PST - Women's Volleyball,
11/15/2024,12:00 PM PST - Men's Water Polo,
11/16/2024,4:00 PM PST - Football,
11/16/2024,11:00 AM PST - Women's Volleyball,
11/17/2024,2:00 PM PST - Men's Basketball,
11/17/2024,12:00 PM PST - Men's Water Polo,
11/19/2024,7:00 PM PST - Women's Volleyball,
11/21/2024,5:00 PM PST - Women's Basketball,
11/22/2024,7:00 PM PST - Football,
11/24/2024,2:00 PM PST - Women's Basketball,
11/29/2024,1:00 PM PST - Football,
12/4/2024,6:00 PM PST - Women's Basketball,
12/7/2024,1:00 PM PST - Women's Basketball,
12/9/2024,7:00 PM PST - Men's Basketball,
12/10/2024,6:00 PM PST - Women's Basketball,
12/14/2024,7:00 PM PST - Men's Basketball,
12/21/2024,7:30 PM PST - Men's Basketball,
12/21/2024,5:00 PM PST - Women's Basketball,
12/28/2024,2:00 PM PST - Men's Basketball,
12/31/2024,2:00 PM PST - Men's Basketball,
01/1/2025,1:00 PM PST - Women's Basketball,
01/7/2025,7:00 PM PST - Men's Basketball,
01/8/2025,6:00 PM PST - Women's Basketball,
01/10/2025,1:00 PM PST - Women's Swimming and Diving,
01/11/2025,1:00 PM PST - Women's Basketball,
01/14/2025,7:00 PM PST - Men's Basketball,
01/25/2025,4:30 PM PST - Men's Basketball,
01/25/2025,1:30 PM PST - Women's Swimming and Diving,
01/25/2025,1:00 PM PST - Women's Basketball,
01/26/2025,2:00 PM PST - Women's Gymnastics,
01/29/2025,6:00 PM PST - Women's Basketball,
01/30/2025,11:00 AM PST - Women's Tennis,
02/1/2025,2:00 PM PST - Men's Basketball,
02/1/2025,1:00 PM PST - Women's Water Polo,
02/2/2025,11:00 AM PST - Women's Water Polo,
02/8/2025,1:30 PM PST - Women's Basketball,
02/9/2025,1:00 PM PST - Women's Water Polo,
02/11/2025,8:00 PM PST - Men's Basketball,
02/11/2025,12:00 PM PST - Women's Tennis,
02/14/2025,7:00 PM PST - Men's Basketball,
02/14/2025,5:30 PM PST - Softball,
02/14/2025,3:00 PM PST - Softball,
02/15/2025,3:00 PM PST - Softball,
02/15/2025,12:30 PM PST - Softball,
02/16/2025,12:05 PM PST - Softball,
02/19/2025,6:00 PM PST - Women's Basketball,
02/20/2025,3:05 PM PST - Baseball,
02/20/2025,12:00 PM PST - Women's Tennis,
02/21/2025,3:05 PM PST - Baseball,
02/22/2025,2:05 PM PST - Baseball,
02/22/2025,2:00 PM PST - Women's Basketball,
02/22/2025,12:00 PM PST - Women's Tennis,
02/23/2025,2:00 PM PST - Women's Gymnastics,
02/23/2025,12:05 PM PST - Baseball,
02/25/2025,7:00 PM PST - Men's Basketball,
02/25/2025,3:05 PM PST - Baseball,
02/25/2025,9:00 AM PST - Women's Golf,
02/28/2025,3:05 PM PST - Baseball,
02/28/2025,2:00 PM PST - Women's Beach Volleyball,
02/28/2025,10:00 AM PST - Women's Beach Volleyball,
03/1/2025,2:00 PM PST - Women's Beach Volleyball,
03/1/2025,1:05 PM PST - Baseball,
03/1/2025,11:00 AM PST - Women's Water Polo,
03/1/2025,10:00 AM PST - Women's Beach Volleyball,
03/2/2025,2:30 PM PST - Women's Tennis,
03/2/2025,2:00 PM PST - Women's Gymnastics,
03/4/2025,7:00 PM PST - Women's Basketball,
03/5/2025,5:00 PM PST - Women's Tennis,
03/5/2025,5:00 PM PST - Softball,
03/7/2025,3:05 PM PST - Baseball,
03/8/2025,2:05 PM PST - Baseball,
03/8/2025,2:00 PM PST - Men's Basketball,
03/8/2025,12:00 PM PST - Softball,
03/9/2025,2:30 PM PDT - Softball,
03/9/2025,2:00 PM PDT - Women's Gymnastics,
03/9/2025,12:05 PM PDT - Baseball,
03/9/2025,12:00 PM PDT - Softball,
03/11/2025,5:05 PM PDT - Baseball,
03/15/2025,1:00 PM PDT - Women's Water Polo,
03/16/2025,11:00 AM PDT - Women's Tennis,
03/19/2025,8:00 PM PDT - Men's Basketball,
03/19/2025,3:05 PM PDT - Baseball,
03/21/2025,6:05 PM PDT - Baseball,
03/21/2025,6:00 PM PDT - Softball,
03/21/2025,1:00 PM PDT - Women's Water Polo,
03/21/2025,12:00 PM PDT - Women's Tennis,
03/22/2025,3:00 PM PDT - Softball,
03/22/2025,2:05 PM PDT - Baseball,
03/22/2025,2:00 PM PDT - Women's Gymnastics,
03/23/2025,12:05 PM PDT - Baseball,
03/23/2025,11:00 AM PDT - Softball,
03/23/2025,11:00 AM PDT - Women's Tennis,
03/25/2025,6:05 PM PDT - Baseball,
03/28/2025,6:05 PM PDT - Baseball,
03/29/2025,2:05 PM PDT - Baseball,
03/30/2025,12:05 PM PDT - Baseball,
04/2/2025,5:00 PM PDT - Softball,
04/5/2025,3:00 PM PDT - Softball,
04/6/2025,12:00 PM PDT - Softball,
04/6/2025,12:00 PM PDT - Women's Tennis,
04/8/2025,5:00 PM PDT - Softball,
04/10/2025,1:00 PM PDT - Women's Beach Volleyball,
04/11/2025,6:00 PM PDT - Softball,
04/12/2025,3:00 PM PDT - Softball,
04/13/2025,12:00 PM PDT - Softball,
04/15/2025,6:05 PM PDT - Baseball,
04/17/2025,6:05 PM PDT - Baseball,
04/17/2025,12:00 PM PDT - Women's Tennis,
04/18/2025,7:00 PM PDT - Men's Soccer,
04/18/2025,6:05 PM PDT - Baseball,
04/19/2025,12:05 PM PDT - Baseball,
